Order ID,Order Date,Unit Cost,Price,Order Qty,Cost of Sales,Sales,Profit,Channel,Promotion Name,Product Name,Manufacturer,Product Sub Category,Product Category,Region,City,Country
15000,11/14/2023,10.93694308,15.9,20,218.7388617,318,99.26113832,Online,No Discount,Contoso USB Wave Multi-media Keyboard E280 Black,"Contoso, Ltd",Computers Accessories,Computers,North America,Spring,United States
14999,1/18/2023,113.2374613,279,12,1358.849536,3348,1989.150464,Online,Asian Summer Promotion,Adventure Works LCD20W M240 Black,Adventure Works,Monitors,Computers,Asia,Beijing,China
14998,8/2/2022,363.6349858,588,13,4727.254816,7408.8,2681.545184,Online,North America Holiday Promotion,"A. Datum SLR Camera 35"" X358 Gold",A. Datum Corporation,Digital SLR Cameras,Cameras and camcorders ,North America,Ithaca,United States
14997,1/2/2022,55.38721211,999,10,553.8721211,9990,9436.127879,Online,No Discount,WWI Projector 720p DLP56 White,Wide World Importers,Projectors & Screens,Computers,Europe,Paris,France
14996,12/16/2021,16.24045462,25,12,194.8854554,300,105.1145446,Online,Asian Summer Promotion,Contoso USB Cable M250 Blue,"Contoso, Ltd",Cameras & Camcorders Accessories,Cameras and camcorders ,Asia,Osaka,Japan
14995,1/12/2022,8.119249547,13.89,10,81.19249547,138.9,57.70750453,Online,No Discount,Contoso DVD 58 DVD Storage Binder M55 Black,"Contoso, Ltd",Movie DVD,"Music, Movies and Audio Books",North America,Westminster,Canada
14994,6/4/2022,3.169628091,12.99,5,15.84814045,64.95,49.10185955,Online,No Discount,Contoso DVD Movies E100 Yellow,"Contoso, Ltd",Movie DVD,"Music, Movies and Audio Books",Asia,Beijing,China
14993,5/6/2022,275.2276637,300,12,3302.731964,3510,207.2680355,Online,North America Back-to-School Promotion,The Phone Company Touch Screen Phones Infrared M901 Grey,The Phone Company,Touch Screen Phones ,Cell phones,North America,Sheboygan,United States
14992,6/11/2022,250.2244244,338,10,2502.244244,3380,877.7557557,Online,No Discount,"A. Datum SLR Camera 35"" M358 Gold",A. Datum Corporation,Digital SLR Cameras,Cameras and camcorders ,North America,Hingham,United States
14991,11/10/2023,52.56434774,329,18,946.1582593,5724.6,4778.441741,Catalog,Asian Spring Promotion,Contoso Home Theater System 2.1 Channel M1210 White,"Contoso, Ltd",Home Theater System,TV and Video,Asia,Beijing,China
14990,9/15/2021,180.9882956,329,9,1628.89466,2895.2,1266.30534,Reseller,North America Spring Promotion,Contoso Home Theater System 4.1 Channel M1410 Silver,"Contoso, Ltd",Home Theater System,TV and Video,North America,Kennebunkport,United States
